					UPD: 11:59 AM

EV (AVG)	EV (F4)	EV (w/ PN)	EV (365)	Game	Player	IN	FD	AVG	bet365	DK	MGM	CZ	Kambi	PN	vs SP
-26.8	-26.4	-31.3	0	SF @ SEA	Josh Rojas		+800	808/-1400		+750	825/-1400	800		768/-1752	
-26.9	-25.3	-28.8	-29.2	STL @ MIN	Lars Nootbaar		+750	750/-1335	750/-1400	+700	750/-1200	800	700/-1430	735/-1625	
-26.9	-27.0	-30.2	-27.2	WSH @ ATL	Juan Yepez		+830	839/-1600	850/-1600	+850	875/-1600	800		826/-1986	.000 0-3, 0 HR, 0 RBI, 0 BB, 3 SO
-27.2	-26.3	-29.3	-25.2	TB @ LAD	Alex Jackson		+900	825/-1400	750/-1400	+750	800/-1400	850		762/-1729	
-27.3	-24.2	-27.9	-24.4	HOU @ BAL	Colton Cowser		+750	705/-1268	700/-1200	+650	725/-1200	700	650/-1430	793/-1349	
-27.5	-22.4	-27.7	-23.1	CHC @ MIA	Kyle Stowers		+700	665/-1192	650/-1100	+600	675/-1100	600	700/-1430	639/-1291	
-27.5	-24.1	-29.7	-29.2	PHI @ KC	Jt Realmuto		+630	696/-1397	750/-1400	+700	750/-1200	650	700/-1667	733/-1620	.000 0-7, 0 HR, 0 RBI, 1 BB, 2 SO
-27.5	-27.6	-30.4	-27.2	LAA @ TOR	Brandon Drury		+830	864/-1600	850/-1600	+850	875/-1600	900		986/-1847	.000 0-6, 0 HR, 0 RBI, 0 BB, 2 SO
-27.6	-27.3	-31.2	-27.2	WSH @ ATL	Whit Merrifield		+900	869/-1600	850/-1600	+850	875/-1600	850		847/-2074	.500 2-4, 0 HR, 0 RBI, 0 BB, 0 SO
-27.8	-25.1	-28.9	-25.2	CIN @ PIT	Ty France		+750	745/-1479	750/-1400	+750	775/-1400	700	750/-1667	873/-1546	.200 1-5, 0 HR, 0 RBI, 0 BB, 1 SO
-27.9	-21.4	-28.2	-24.4	WSH @ ATL	Orlando Arcia		+800	710/-1281	700/-1200	+650	700/-1100	650	700/-1667	679/-1427	.000 0-10, 0 HR, 0 RBI, 0 BB, 3 SO
-28.0	-27.6	-30.4	-27.2	WSH @ ATL	Cj Abrams		+900	855/-1622	850/-1600	+850	875/-1600	900	750/-1667	843/-2055	.333 1-3, 0 HR, 0 RBI, 0 BB, 1 SO
-28.2	-25.6	-29.7	-25.2	STL @ MIN	Willi Castro		+750	760/-1479	750/-1400	+750	800/-1400	750	750/-1667	751/-1688	
-29.1	-24.9	-29.6	-29.2	COL @ NYY	Ryan Mcmahon		+750	750/-1397	750/-1400	+700	750/-1200	750	750/-1667	832/-1442	.200 1-5, 0 HR, 0 RBI, 0 BB, 2 SO
-29.2	-22.9	-29.5	-23.1	DET @ CHW	Miguel Vargas		+630	661/-1241	650/-1100	+600	675/-1100	650	700/-1667	643/-1306	
-29.3	-23.8	-29.6	-24.4	HOU @ BAL	Yainer Diaz		+700	705/-1324	700/-1200	+650	725/-1200	650	750/-1667	788/-1336	
-29.3	-23.8	-29.9	-24.4	HOU @ BAL	Jake Meyers		+700	705/-1324	700/-1200	+650	725/-1200	650	750/-1667	802/-1370	
-29.5	-24.2	-30.5	-24.4	ARI @ BOS	Corbin Carroll		+680	711/-1324	700/-1200	+650	725/-1200	700	750/-1667	696/-1484	
-29.9	-29.0	-31.5	-29.2	SF @ SEA	Victor Robles		+830	776/-1400	750/-1400	+700	775/-1400	750		744/-1659	
-30.0	-31.2	-30.6	-31.0	COL @ NYY	Charlie Blackmon		+870	904/-2000	950/-2000	+1000	1000/-2000	900	800/-2000		.333 1-3, 1 HR, 1 RBI, 0 BB, 0 SO
-30.1	-34.6	-30.6	-33.8	LAA @ TOR	Nolan Schanuel		+830	916/-1875	950/-2000	+950	1050/-2000	1000	750/-1667		
-30.1	-31.2	-30.6	-31.0	WSH @ ATL	James Wood		+900	910/-2000	950/-2000	+1000	1000/-2000	900	800/-2000		
-30.3	-31.9	-31.9	-31.0	NYM @ SD	Harrison Bader		+680	920/-2000	950/-2000	+1000	950/-2000	1100			.091 1-11, 1 HR, 1 RBI, 2 BB, 6 SO
-30.6	-32.9	-32.9	-31.6	SF @ SEA	Curt Casali		+900	1138/-3000	1200/-3000	+1500	1250/-3000	1200			.000 0-1, 0 HR, 0 RBI, 1 BB, 0 SO
-30.8	-30.8	-34.3	-30.7	MIL @ OAK	Abraham Toro		+800	856/-1600	850/-1600	+800	875/-1600	900		841/-2048	
-31.0	-31.3	-31.3	-27.7	STL @ MIN	Edouard Julien		+900	938/-1895	900/-1800	+950	950/-2000	1000			.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO
-31.4	-25.4	-30.9	-25.2	CIN @ PIT	Connor Joe		+870	789/-1556	750/-1400	+750	775/-1400	750	800/-2000	863/-1520	
-31.8	-22.9	-31.7	-23.1	DET @ CHW	Andrew Benintendi		+630	681/-1294	650/-1100	+600	675/-1100	650	800/-2000	649/-1324	
-31.9	-30.8	-34.2	-30.7	ARI @ BOS	David Hamilton		+1000	906/-1600	850/-1600	+800	875/-1600	900		838/-2037	
-32.0	-26.1	-33.1	-25.2	TEX @ CLE	Carson Kelly		+900	815/-1556	750/-1400	+750	825/-1400	800	800/-2000	789/-1833	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO
-32.1	-24.8	-31.3	-29.2	TEX @ CLE	Josh Smith		+830	782/-1465	750/-1400	+700	750/-1200		800/-2000		.000 0-4, 0 HR, 0 RBI, 0 BB, 1 SO
-32.1	-39.5	-32.9	0	MIL @ OAK	Joey Ortiz		+900	1025/-2222		+1100	1150/-2500	1200	850/-2000		
-32.3	-30.5	-35.0	-34.1	STL @ MIN	Tommy Pham		+870	839/-1547	850/-1600	+750	825/-1400	900	750/-1667	853/-2101	
-32.6	-36.5	-32.6	-36.7	MIL @ OAK	Miguel Andujar		+900	890/-1875	950/-2000	+900	1000/-2000	900	700/-1667		.000 0-1, 0 HR, 0 RBI, 1 BB, 0 SO
-33.1	-34.1	-33.4	-33.8	NYM @ SD	Xander Bogaerts		+870	914/-2000	950/-2000	+950	950/-2000	1000	800/-2000		.000 0-4, 0 HR, 1 RBI, 1 BB, 0 SO
-33.5	-33.5	-36.1	-30.8	TB @ LAD	Taylor Walls		+900	912/-1895	900/-1800	+900	950/-2000	900		894/-2282	
-33.6	-33.3	-36.1	-30.8	WSH @ ATL	Alex Call		+830	876/-1929	900/-1800	+900	950/-2000	850	850/-2000	910/-2356	.000 0-1, 0 HR, 0 RBI, 1 BB, 1 SO
-33.7	-34.7	-34.7	-29.4	CIN @ PIT	Tj Friedl		+1060	1102/-2727	1100/-2500	+1300	1150/-3000	1100			.250 1-4, 1 HR, 1 RBI, 0 BB, 1 SO
-33.8	-26.9	-34.1	-27.2	TEX @ CLE	Nathaniel Lowe		+900	870/-1818	850/-1600	+850	850/-1600	800	950/-2500	814/-1934	.375 3-8, 0 HR, 1 RBI, 1 BB, 1 SO
-33.9	-33.3	-35.7	-30.8	NYM @ SD	Jeff Mcneil		+900	890/-1929	900/-1800	+900	950/-2000	850	850/-2000	894/-2282	.222 2-9, 0 HR, 0 RBI, 0 BB, 1 SO
-33.9	-33.8	-33.4	-33.8	HOU @ BAL	Jackson Holliday		+1060	952/-2000	950/-2000	+950	1000/-2000	900	850/-2000		
-34.0	-30.2	-34.7	-30.7	STL @ MIN	Brendan Donovan		+900	855/-1714	850/-1600	+800	875/-1600	800	850/-2000	812/-1927	
-34.1	-30.7	-36.0	-30.7	NYM @ SD	David Peralta		+900	860/-1714	850/-1600	+800	900/-1600	850	800/-2000	861/-2133	
-34.1	-39.0	-34.5	-38.8	LAA @ TOR	Anthony Rendon		+1000	1040/-2308	1100/-2500	+1100	1150/-2500	1100	850/-2000		.154 2-13, 1 HR, 1 RBI, 0 BB, 3 SO
-34.3	-33.5	-35.9	-30.8	STL @ MIN	Victor Scott		+1060	952/-1895	900/-1800	+900	950/-2000	900		887/-2251	
-34.3	-34.6	-34.6	-33.8	LAA @ TOR	Leo Jimenez		+900	975/-2000	950/-2000	+950	1050/-2000	1000			
-34.3	-30.8	-35.4	-27.7	LAA @ TOR	Ernie Clement		+870	904/-2061	900/-1800	+950	950/-2000	900	900/-2500	1077/-2107	
-34.6	-30.8	-36.1	-27.7	TEX @ CLE	Will Brennan		+1000	920/-2061	900/-1800	+950	950/-2000	900	850/-2500	919/-2399	
-34.6	-31.9	-35.0	-31.0	COL @ NYY	Alex Verdugo		+900	970/-2143	950/-2000	+1000	1050/-2000	1000	950/-2500		.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO
-35.5	-36.0	-36.1	-31.1	WSH @ ATL	Keibert Ruiz		+900	1020/-2391	1000/-2200	+1100	1150/-2500	1200	850/-2500		.250 1-4, 0 HR, 0 RBI, 0 BB, 2 SO
-35.6	-31.3	-35.2	-27.7	STL @ MIN	Masyn Winn		+1060	972/-2061	900/-1800	+950	950/-2000	1000	950/-2500		
-36.5	-36.3	-39.1	-34.0	TEX @ CLE	Leody Taveras		+900	912/-1895	900/-1800	+850	950/-2000	900		902/-2318	.333 2-6, 0 HR, 0 RBI, 0 BB, 1 SO
-36.8	-33.8	-37.0	-33.8	HOU @ BAL	Ryan Mountcastle		+900	940/-2143	950/-2000	+950	1000/-2000	900	950/-2500		.333 1-3, 1 HR, 2 RBI, 0 BB, 0 SO
-36.8	-30.2	-36.9	-30.7	HOU @ BAL	Jeremy Pena		+830	861/-1818	850/-1600	+800	875/-1600	800	950/-2500	966/-1792	
-36.9	-34.1	-37.2	-33.8	PHI @ KC	Brandon Marsh		+870	944/-2143	950/-2000	+950	950/-2000	1000	950/-2500		.000 0-5, 0 HR, 0 RBI, 0 BB, 3 SO
-37.1	-33.5	-38.5	-30.8	TEX @ CLE	Lane Thomas		+900	900/-2061	900/-1800	+900	950/-2000	900	850/-2500	907/-2342	
-37.3	-33.5	-38.0	-30.8	HOU @ BAL	Adley Rutschman		+900	910/-2061	900/-1800	+900	950/-2000	900	900/-2500	1073/-2095	.667 2-3, 1 HR, 2 RBI, 0 BB, 1 SO
-37.5	-38.7	-38.7	-34.1	WSH @ ATL	Luis Garcia		+900	1062/-2727	1100/-2500	+1200	1150/-3000	1100			
-38.2	-39.0	-38.3	-38.8	CHC @ MIA	Jonah Bride		+1060	1062/-2500	1100/-2500	+1100	1150/-2500	1100	900/-2500		
-38.5	-39.0	-39.0	-34.1	HOU @ BAL	Mauricio Dubon		+1060	1128/-2727	1100/-2500	+1200	1150/-3000	1200			
-38.9	-33.6	-39.4	-37.1	HOU @ BAL	Ryan Ohearn		+830	876/-1898	900/-1800	+800	900/-1600	850	900/-2500	1011/-1917	.500 3-6, 1 HR, 2 RBI, 0 BB, 2 SO
-38.9	-40.3	-40.3	-39.6	CHC @ MIA	Nick Fortes		+900	1150/-3000	1200/-3000	+1300	1300/-3000	1200			.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO
-38.9	-39.8	-39.8	-36.4	CHC @ MIA	Miguel Amaya		+800	988/-2340	1000/-2200	+1000	1150/-2500	1000			
-39.8	-40.4	-40.4	-39.6	STL @ MIN	Austin Martin		+1100	1212/-3000	1200/-3000	+1300	1350/-3000	1200			
-40.6	-40.0	-40.0	-39.6	WSH @ ATL	Jose Tena		+1500	1275/-3000	1200/-3000	+1300	1200/-3000	1200			
-40.6	-44.4	-40.9	-43.7	ARI @ BOS	Jake Mccarthy		+1100	1180/-2812	1200/-3000	+1200	1250/-3000	1400	950/-2500		
-40.7	-34.3	-40.9	-33.8	CHC @ MIA	Otto Lopez		+870	974/-2308	950/-2000	+950	1000/-2000	1000	1050/-3335		
-40.7	-36.3	-40.3	-34.0	CIN @ PIT	Jared Triolo		+1000	940/-2061	900/-1800	+850	950/-2000	900	950/-2500	1043/-2009	
-42.0	0	-35.5	0	COL @ NYY	Nolan Jones		+830	860/-2500		+950		900	850/-2500	974/-1814	
-42.1	-39.0	-42.3	-38.8	PHI @ KC	Bryson Stott		+1060	1072/-2728	1100/-2500	+1100	1150/-2500	1100	950/-3335		.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO
-42.1	0	-44.0	0	MIL @ OAK	Blake Perkins		+900	1050/-3335		+1300		1200	1050/-3335		
-42.7	-39.0	-42.4	-38.8	TEX @ CLE	Andres Gimenez		+1200	1110/-2728	1100/-2500	+1100	1150/-2500	1100	1000/-3335		.429 3-7, 0 HR, 0 RBI, 0 BB, 1 SO
-43.2	-43.2	-43.2	-38.8	HOU @ BAL	Ramon Urias		+1100	1150/-2727	1100/-2500	+1100	1200/-3000	1200			.667 2-3, 0 HR, 0 RBI, 0 BB, 0 SO
-43.2	-43.5	-43.5	-43.7	DET @ CHW	Dominic Fletcher		+1100	1162/-3000	1200/-3000	+1200	1250/-3000	1100			
-43.4	-43.1	-43.1	-43.5	HOU @ BAL	Cedric Mullins		+1060	1090/-2500	1100/-2500	+1000	1100/-2500	1100			.333 1-3, 0 HR, 0 RBI, 1 BB, 0 SO
-43.6	-43.2	-43.2	-38.8	ARI @ BOS	Geraldo Perdomo		+1200	1175/-2727	1100/-2500	+1100	1200/-3000	1200			
-44.6	-42.7	-45.1	-38.8	CHC @ MIA	Derek Hill		+900	1060/-2904	1100/-2500	+1100	1150/-3000	1100	1050/-3335		
-46.0	-40.3	-46.2	-39.6	CIN @ PIT	Isiah Kiner Falefa		+1200	1220/-3462	1200/-3000	+1300	1300/-3000	1200	1200/-5000		
-46.5	-46.7	-46.7	0	WSH @ ATL	Gio Urshela		+1060	1103/-3000		+1100	1150/-3000	1100			.500 1-2, 0 HR, 0 RBI, 0 BB, 1 SO
-47.2	-48.3	-48.3	-40.3	MIL @ OAK	Max Schuemann		+1060	1302/-4118	1300/-3500	+1500	1450/-5000	1400			
-47.8	-50.1	-48.0	-39.6	CHC @ MIA	Nico Hoerner		+1200	1240/-3601	1200/-3000	+1300	1350/-5000	1400	1050/-3335		
-49.6	-48.8	-49.8	-44.0	DET @ CHW	Nicky Lopez		+1500	1390/-4615	1400/-4000	+1600	1450/-5000	1400	1200/-5000		
-50.2	-50.9	-50.9	-43.8	MIL @ OAK	Brice Turang		+1100	1288/-4118	1300/-3500	+1400	1350/-5000	1400			
-50.6	-39.0	-50.9	-34.1	PHI @ KC	Maikel Garcia		+1060	1182/-3600	1100/-2500	+1200	1250/-3000	1100	1400/-10000		.250 1-4, 0 HR, 0 RBI, 0 BB, 0 SO
-51.2	-51.5	-51.5	-47.1	CIN @ PIT	Santiago Espinal		+1400	1412/-4444	1400/-4000	+1500	1450/-5000	1400			.250 1-4, 1 HR, 2 RBI, 1 BB, 0 SO
-52.7	-53.8	-53.8	-37.7	MIL @ OAK	Sal Frelick		+1300	1412/-5714	1400/-4000	+1800	1550/-10000	1400			
-52.9	-53.5	-53.5	-51.0	WSH @ ATL	Jacob Young		+1800	1875/-6600	1600/-6600	+2200	1900	2200			.000 0-3, 0 HR, 0 RBI, 0 BB, 2 SO
-53.0	-53.8	-53.8	-47.3	PHI @ KC	Kyle Isbel		+1000	1262/-4118	1300/-3500	+1300	1350/-5000	1400			.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO
-54.3	-43.8	-53.9	-43.7	TEX @ CLE	Steven Kwan		+1400	1250/-3913	1200/-3000	+1200	1250/-3000	1200	1200/-10000		.250 1-4, 0 HR, 1 RBI, 0 BB, 0 SO
-54.5	-54.5	-54.5	-50.2	PHI @ KC	Johan Rojas		+1400	1462/-4444	1400/-4000	+1400	1450/-5000	1600			
-58.2	-50.4	-58.2	-43.8	NYM @ SD	Luis Arraez		+1400	1330/-5122	1300/-3500	+1400	1350/-5000	1200	1400/-10000		.333 1-3, 0 HR, 0 RBI, 0 BB, 0 SO
-58.4	-59.4	-59.4	-51.0	NYM @ SD	Tyler Wade		+1500	1712/-7952	1600/-6600	+2200	1750/-10000	2000			.250 1-4, 0 HR, 0 RBI, 0 BB, 0 SO
-59.0	-59.7	-59.7	-48.4	ARI @ BOS	Kevin Newman		+1400	1538/-6667	1500/-5000	+1800	1650/-10000	1600			.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO
-64.0	-61.5	-64.6	-51.0	CHC @ MIA	Xavier Edwards		+1200	1460/-7500	1500/-5000	+1700	1600/-10000	1600	1400/-10000		
