EV	EV Book	Imp	Player	Prop	O/U	FD	DK	MGM	BV	CZ	Kambi/BR	PN	bet365	ESPN	Circa
10.8	-115 ESPN	53%	Marcell Ozuna	hr	o 29.5	-132	-230	-	-	-	-	-	-	-115/-115	-
10.3	-102 FD	50%	Christian Walker	hr	o 29.5	-102	-175	-	-	-	-	-	-	-125	-
10.2	135 BR	43%	MIN	playoffs	o  	'+100/-122	'+100/-120	-	'+105/-135	105/-125	135/-167	-	-	-	-
10.1	300 DK	25%	CIN	playoffs	o  	'+260/-340	'+300/-400	-	'+210/-300	250/-310	185/-240	-	-	-	-
9.7	350 ESPN	22%	Freddie Freeman	hr	o 29.5	'+255	'+240	-	-	-	-	-	-	'+350	-
9.6	240 BR	29%	NYY	playoffs	u  	-210/+164	-250/+200	-	-230/+170	-250/200	-335/240	-	-	-	-
9.3	220 DK	31%	Isaac Paredes	hr	o 29.5	'+164	'+220	-	-	-	-	-	-	'+160	-
8.6	125 DK	44%	CHC	division	o  	-105	'+125	-	-	-115	-106	-106	-	-	-
8.4	164 FD	38%	Jake Burger	hr	o 29.5	'+164	-105	-	-	-	-	-	-	'+160	-
8.1	133 PN	43%	TOR	team_wins	u 78.5	-	-115/-105	-	-145/+110	-	-	-160/133	-130/+100	-	-
8.1	225 ESPN	31%	Oneil Cruz	hr	o 29.5	'+176	'+160	-	-	-	-	-	-	'+225	-
8.1	115 ESPN	47%	Jose Ramirez	hr	o 29.5	'+104	-135	-110/-120	-125/-105	-	-	-	-	'+115	-
8.0	110 ESPN	48%	Kyle Tucker	hr	o 29.5	'+104	-155	-	-	-	-	-	-	'+110	-
7.7	-105 365	51%	Mike Trout	hr	o 24.5	-120/-102	-340	-	-125/-105	-	-	-	-105/-115	-	-
7.3	198 PN	34%	Shohei Ohtani	mvp	o  	-	-	-	-	180	125	198	-	-	-
6.8	135 ESPN	43%	Bryce Harper	hr	o 29.5	'+124	-115	-	-	-	-	-	-	'+135	-
6.0	100 BR	50%	BOS	team_wins	o 86.5	-	-110/-110	-130/+110	-145/+110	-120/100	100/-125	-124/104	-130/+100	-	-
5.8	180 ESPN	36%	Pete Alonso	hr	o 39.5	'+164	'+120	-	-	-	-	-	-	'+180	-
5.8	180 FD	36%	Jacob Degrom	k	o 199.5	'+180	'+130	-	-	-	150	-	-	-	-
5.8	460 FD	18%	Anthony Volpe	sb	o 39.5	'+460	'+300	-	-	-	-	-	-	'+350	-
5.4	190 FD	34%	Jazz Chisholm	sb	o 39.5	'+190	'+130	-	-	-	-	-	-	'+170	-
5.3	164 FD	38%	Mookie Betts	hr	o 29.5	'+164	'+105	-	-	-	-	-	-	'+160	-
5.2	-110 365	52%	Anthony Volpe	hr	o 14.5	-115/-105	-260	-	-	-	-	-	-110/-110	-	-
5.0	110 BV	48%	TEX	team_wins	u 85.5	-	-110/-110	-115/-105	-145/+110	-	-	-	-105/-115	-	-
4.9	-130 ESPN	57%	Gunnar Henderson	hr	o 29.5	-132	-230	-	-	-	-	-	-	-130	-
4.5	105 ESPN	49%	Juan Soto	hr	o 34.5	-	-135	-	-115/-115	-	-	-	-	'+105/-135	-
4.4	-110 365	52%	Pete Crow Armstrong	sb	o 29.5	-166	-120	-	-	-	-	-	-110/-110	-	-
4.4	110 BV	48%	ATH	team_wins	u 71.5	-	-110/-110	-115/-105	-145/+110	-	-	-	-110/-110	-	-
4.2	-115 DK	53%	TOR	team_wins	o 78.5	-	-115/-105	-	-145/+110	-	-	-160/133	-130/+100	-	-
4.2	100 MGM	50%	MIA	team_wins	o 62.5	-	-	'+100/-120	-	-	-122/-103	-120/101	-	-	-
4.0	118 PN	46%	SEA	team_wins	u 84.5	-	-110/-110	-125/+105	-	-	-	-141/118	-130/+100	-	-
4.0	250 CZ	29%	NYM	playoffs	u  	-280/+220	-250/+205	-	-260/+190	-325/250	-265/200	-	-	-	-
4.0	-110 CZ	52%	MIN	team_wins	o 83.5	-	-	-125/+105	-145/+110	-110/-110	-130/105	-145/121	-130/+100	-	-
3.9	145 DK	41%	HOU	playoffs	u  	-152/+122	-185/+145	-	-165/+125	-150/125	-139/110	-	-	-	-
3.8	330 FD	23%	Jose Ramirez	sb	o 39.5	'+330	'+240	-	-	-	-	-	-	'+260	-
3.7	-110 DK	52%	LAD	team_wins	o 103.5	-	-110/-110	-	-	-	-	-126/106	-140/+110	-	-
3.6	105 BR	49%	PHI	team_wins	o 90.5	-	-	-115/-105	-	-110/-110	105/-130	-	-	-	-
3.5	-240 BR	71%	CIN	playoffs	u  	'+260/-340	'+300/-400	-	'+210/-300	250/-310	185/-240	-	-	-	-
3.2	-110 DK	52%	SEA	team_wins	o 84.5	-	-110/-110	-125/+105	-	-	-	-141/118	-130/+100	-	-
3.2	140 FD	42%	CHC	playoffs	u  	-176/+140	-140/+115	-	-170/+130	-150/125	-134/105	-	-	-	-
3.1	406 PN	20%	Tarik Skubal	cy_young	o  	-	-	-	-	300	300	406	-	-	-
3.1	102 FD	50%	Jose Ramirez	sb	o 29.5	'+102	-120	-	-125/-105	-110/-110	-	-	-	-	-
2.9	121 PN	45%	MIN	team_wins	u 83.5	-	-	-125/+105	-145/+110	-110/-110	-130/105	-145/121	-130/+100	-	-
2.7	-250 FD	71%	TOR	playoffs	u  	'+198/-250	'+285/-360	-	'+220/-300	250/-330	270/-375	-	-	-	-
2.7	100 BR	50%	Garrett Crochet	k	o 199.5	-120/-106	-120	-	-130	-	100	-	-110/-110	-	-
2.7	125 CZ	44%	DET	playoffs	o  	'+104/-128	'+110/-130	-	'+105/-135	125/-150	110/-137	-	-	-	-
2.7	115 DK	47%	Corey Seager	hr	o 29.5	-128	'+115	-	-	-	-	-	-	'+115	-
2.7	172 FD	37%	Bobby Witt	sb	o 39.5	'+172	'+140	-	-	-	-	-	-	'+140	-
2.6	100 DK	50%	Michael King	k	o 179.5	-113/-113	'+100	-	-	-	-	-	-	-125/+100	-
2.6	115 PN	47%	LAA	team_wins	u 71.5	-	-120/+100	-	-130/100	-110/-110	-	-137/115	-130/+100	-	-
2.5	-115 DK	53%	BOS	playoffs	o  	-140/+114	-115/-105	-	-145/+110	-130/110	-136/105	-	-	-	-
2.4	-110 FD	52%	Elly De La Cruz	hr	o 24.5	-110/-110	-145	-	-130/100	-	-	-	-	-	-
2.3	125 DK	44%	MIL	playoffs	o  	'+106/-134	'+125/-150	-	100/-130	120/-140	105/-130	-	-	-	-
2.2	-110 CZ	52%	LAA	team_wins	o 71.5	-	-120/+100	-	-130/100	-110/-110	-	-137/115	-130/+100	-	-
2.2	-132 FD	57%	Austin Riley	hr	o 29.5	-132	-200	-	-	-	-	-	-	-135	-
2.1	-120 DK	55%	Xavier Edwards	sb	o 39.5	-160	-120	-	-	-	-	-	-	-135	-
2.1	101 PN	50%	TB	team_wins	o 81.5	-	-115/-105	-120/+100	-115/-115	-	-	101/-120	-110/-110	-	-
2.1	100 BR	50%	SEA	team_wins	o 85.5	-	-	-	-120/-110	-115/-105	100/-125	-	-	-	-
2.1	100 CZ	50%	Oneil Cruz	hr	o 22.5	-	-	-115/-115	-125/-105	100/-120	-	-	-	-	-
2.1	165 FD	38%	NYY	division	o  	'+165	'+135	-	-	150	160	106	-	-	-
2.0	-115 FD	53%	Willson Contreras	hr	o 19.5	-115/-105	-245	-120/-110	-	-	-	-	-	-	-
2.0	107 PN	48%	MIL	team_wins	o 83.5	-	'+100/-120	-	-120/-110	-110/-120	-	107/-127	-	-	-
2.0	170 ESPN	37%	Kyle Schwarber	hr	o 39.5	'+164	'+120	-	-	-	-	-	-	'+170	-
2.0	104 PN	49%	HOU	team_wins	o 86.5	-	-	-110/-110	-115/-115	-110/-110	-110/-110	104/-123	-	-	-
1.9	285 DK	26%	TOR	playoffs	o  	'+198/-250	'+285/-360	-	'+220/-300	250/-330	270/-375	-	-	-	-
1.8	340 FD	23%	Vladimir Guerrero	hr	o 39.5	'+340	'+230	-	-	-	-	-	-	'+300	-
1.8	240 DK	29%	Pete Crow Armstrong	sb	o 39.5	'+186	'+240	-	-	-	-	-	-	'+200	-
1.7	-105 365	51%	TEX	team_wins	o 85.5	-	-110/-110	-115/-105	-145/+110	-	-	-	-105/-115	-	-
1.7	-105 MGM	51%	Shohei Ohtani	hr	o 42.5	-	-	-105/-120	-130/100	-	-	-	-115/-105	-	-
1.6	110 ESPN	48%	Elly De La Cruz	hr	u 23.5	-	-	-115/-115	-	-115/-105	-	-	-130/+100	-140/+110	-
1.6	255 FD	28%	Corbin Carroll	hr	o 29.5	'+255	'+175	-	-	-	-	-	-	'+240	-
1.6	-134 BR	57%	CHC	playoffs	o  	-176/+140	-140/+115	-	-170/+130	-150/125	-134/105	-	-	-	-
1.6	100 MGM	50%	Brent Rooker	hr	o 34.5	-110/-110	-150	'+100/-125	-	-	-112/-112	-	-	-115/-115	-
1.4	250 DK	29%	SEA	division	o  	'+200	'+250	-	-	210	200	195	-	-	-
1.4	110 ESPN	48%	Mike Trout	hr	o 29.5	'+108	-125	-	-	-	-	-	-	'+110	-
1.4	-105 365	51%	COL	team_wins	o 59.5	-	-	-120/+100	-	-115/-105	-	-121/101	-105/-115	-	-
1.4	-110 365	52%	ARI	team_wins	o 86.5	-	-120/+100	-125/+105	-130/100	-125/105	-	-129/108	-110/-110	-	-
1.3	132 FD	43%	KC	playoffs	o  	'+132/-162	'+110/-130	-	'+115/-150	125/-150	110/-139	-	-	-	-
1.3	-115 DK	53%	CIN	team_wins	o 78.5	-	-115/-105	-135/+115	-	-	-	-131/110	-130/+100	-	-
1.3	850 DK	11%	ATH	playoffs	o  	'+680/-1200	'+850/-1400	-	'+550/-1000	460/-800	600/-1115	-	-	-	-
1.3	350 DK	22%	Alex Bregman	hr	o 29.5	'+280	'+350	-	-	-	-	-	-	'+260	-
1.2	-105 MGM	51%	PHI	team_wins	u 90.5	-	-	-115/-105	-	-110/-110	105/-130	-	-	-	-
1.2	110 365	48%	LAD	team_wins	u 103.5	-	-110/-110	-	-	-	-	-126/106	-140/+110	-	-
1.1	-210 FD	68%	NYY	playoffs	o  	-210/+164	-250/+200	-	-230/+170	-250/200	-335/240	-	-	-	-
1.0	-115 MGM	53%	Chris Sale	k	o 179.5	-120/-106	-200	-115/-115	-	-	-	-	-	-	-
0.9	210 DK	32%	Yordan Alvarez	hr	o 39.5	'+150	'+210	-	-	-	-	-	-	'+200	-
0.9	175 DK	36%	Elly De La Cruz	hr	o 29.5	'+134	'+175	-	-	-	-	-	-	'+160	-
0.8	101 PN	50%	MIA	team_wins	u 62.5	-	-	'+100/-120	-	-	-122/-103	-120/101	-	-	-
0.8	115 MGM	47%	CIN	team_wins	u 78.5	-	-115/-105	-135/+115	-	-	-	-131/110	-130/+100	-	-
0.8	105 CZ	49%	CHW	team_wins	u 53.5	-	-110/-110	-115/-105	-	-125/105	-	-	-115/-105	-	-
0.8	110 MGM	48%	BOS	team_wins	u 86.5	-	-110/-110	-130/+110	-145/+110	-120/100	100/-125	-124/104	-130/+100	-	-
0.7	-139 BR	58%	HOU	playoffs	o  	-152/+122	-185/+145	-	-165/+125	-150/125	-139/110	-	-	-	-
0.6	-110 CZ	52%	Pete Alonso	hr	o 34.5	-	-190	-	-125/-105	-110/-110	-113/-113	-	-	-125/+100	-
0.6	170 DK	37%	LAD	league	o  	'+135	'+170	-	'+140	140	145	156	-	-	-
0.6	-130 DK	57%	KC	playoffs	u  	'+132/-162	'+110/-130	-	'+115/-150	125/-150	110/-139	-	-	-	-
0.5	100 MGM	50%	TB	team_wins	u 81.5	-	-115/-105	-120/+100	-115/-115	-	-	101/-120	-110/-110	-	-
0.5	100 BV	50%	Shohei Ohtani	hr	u 42.5	-	-	-105/-120	-130/100	-	-	-	-115/-105	-	-
0.5	100 MGM	50%	PIT	team_wins	u 76.5	-	-	-120/+100	-105/-125	-115/-105	-112/-112	-	-110/-110	-	-
0.5	114 PN	47%	CLE	team_wins	o 82.5	-	-105/-115	'+100/-120	'+110/-145	-	-107/-122	114/-135	'+100/-130	-	-
0.4	-110 BR	52%	ATH	team_wins	o 72.5	-	-	-	-	-120/100	-110/-110	-123/104	-	-	-
0.4	-158 FD	61%	Anthony Santander	hr	o 29.5	-158	-230	-	-	-	-	-	-	-165	-
0.3	-165 ESPN	62%	Shohei Ohtani	hr	o 39.5	-174	-230	-	-	-	-	-	-	-165	-
0.3	-105 FD	51%	Rafael Devers	hr	o 29.5	-105/-115	-200	-	-110/-120	-	-112/-112	-	-	-125	-
0.3	-120 DK	55%	MIN	playoffs	u  	'+100/-122	'+100/-120	-	'+105/-135	105/-125	135/-167	-	-	-	-
0.3	100 ESPN	50%	Mark Vientos	hr	o 29.5	-102	-150	-	-	-	-	-	-105/-115	'+100	-
0.2	110 DK	48%	SD	playoffs	o  	-105/-118	'+110/-130	-	-105/-125	-105/-115	105/-132	-	-	-	-
0.2	158 CZ	39%	BAL	playoffs	u  	-164/+134	-175/+145	-	-180/+135	-190/158	-180/140	-	-	-	-
0.0	100 ESPN	50%	Teoscar Hernandez	hr	u 28.5	-	-	-	-115/-115	-110/-110	-	-	-	-125/+100	-
0.0	100 ESPN	50%	Riley Greene	hr	o 21.5	-105/-115	-	-120/-110	-115/-115	-	-	-	-	'+100/-125	-
0.0	100 BV	50%	Oneil Cruz	sb	u 20.5	-113/-113	-	-	-130/100	-	-	-	-110/-110	-	-
0.0	100 CZ	50%	Lawrence Butler	hr	u 23.5	-110/-110	-	-115/-115	-	-120/100	-	-	-110/-110	-	-
0.0	100 ESPN	50%	Kyle Schwarber	hr	u 35.5	-110/-110	-	-	-115/-115	-	-	-	-	-125/+100	-
0.0	100 BV	50%	Jazz Chisholm	sb	u 33.5	-113/-113	-	-	-130/100	-	-	-	-110/-110	-	-
0.0	100 BV	50%	Jarren Duran	sb	u 29.5	-	-	-	-130/100	-110/-110	-	-	-110/-110	-	-
0.0	100 FD	50%	James Wood	hr	o 17.5	'+100/-122	-	-120/-110	-	-110/-110	-	-	-105/-115	-	-
0.0	100 BV	50%	DET	team_wins	u 83.5	-	-110/-110	-115/-105	-130/100	-	-	-109/-109	-105/-115	-	-
0.0	100 BV	50%	Cal Raleigh	hr	o 30.5	-	-	-	100/-130	-110/-110	-113/-113	-	-	-	-
0.0	100 CZ	50%	Austin Riley	hr	u 30.5	-110/-110	-	-	-	-120/100	-113/-113	-	-110/-110	-115/-115	-
0.0	100 DK	50%	Aaron Nola	k	o 179.5	-113/-113	'+100	-	-115/-115	-	-	-	-	-	-
-0.1	-150 BR	60%	Paul Skenes	k	o 199.5	-215	-150	-	-	-	-150	-	-	-	-
-0.1	-115 DK	53%	CLE	team_wins	u 82.5	-	-105/-115	'+100/-120	'+110/-145	-	-107/-122	114/-135	'+100/-130	-	-
-0.1	400 DK	20%	Aaron Judge	hr_leader	o  	'+270	'+400	-	-	350	-	-	-	-	-
-0.2	490 FD	17%	STL	playoffs	o  	'+490/-750	'+360/-475	-	'+400/-650	425/-600	375/-560	-	-	-	-
-0.2	420 FD	19%	Brenton Doyle	sb	o 39.5	'+420	'+260	-	-	-	-	-	-	'+400	-
-0.3	-105 BV	51%	Oneil Cruz	hr	u 22.5	-	-	-115/-115	-125/-105	100/-120	-	-	-	-	-
-0.3	-110 BV	52%	MIL	team_wins	u 83.5	-	'+100/-120	-	-120/-110	-110/-120	-	107/-127	-	-	-
-0.3	-105 365	51%	DET	team_wins	o 83.5	-	-110/-110	-115/-105	-130/100	-	-	-109/-109	-105/-115	-	-
-0.3	-105 FD	51%	Corey Seager	hr	o 28.5	-105/-115	-	-	-125/-105	-	-	-	-110/-110	-	-
-0.3	-105 CZ	51%	Brent Rooker	hr	o 33.5	-	-	-	-125/-105	-105/-115	-	-	-110/-110	-	-
-0.3	104 PN	49%	ATH	team_wins	u 72.5	-	-	-	-	-120/100	-110/-110	-123/104	-	-	-
-0.4	-115 FD	53%	Trea Turner	hr	o 19.5	-115/-105	-220	-	-115/-115	-	-	-	-	-	-
-0.4	225 DK	31%	TEX	division	o  	'+190	'+225	-	-	180	175	204	-	-	-
-0.4	140 ESPN	42%	Adolis Garcia	hr	o 29.5	'+128	'+115	-	-	-	-	-	-	'+140	-
-0.5	-110 BR	52%	WSH	team_wins	o 71.5	-	-	-	-130/100	-	-110/-110	-	-115/-105	-	-
-0.5	-110 DK	52%	SF	team_wins	o 80.5	-	-110/-110	-	-130/100	-115/-105	-	-	-	-	-
-0.5	-110 DK	52%	ATH	team_wins	o 71.5	-	-110/-110	-115/-105	-145/+110	-	-	-	-110/-110	-	-
-0.6	100 MGM	50%	NYM	team_wins	o 90.5	-	-110/-110	'+100/-120	-110/-120	-	-112/-112	-	-110/-110	-	-
-0.6	-450 DK	82%	LAD	division	o  	-650	-450	-	-	-650	-670	-622	-	-	-
-0.6	-115 MGM	53%	Elly De La Cruz	hr	o 23.5	-	-	-115/-115	-	-115/-105	-	-	-130/+100	-140/+110	-
-0.6	100 MGM	50%	Dylan Cease	k	o 205.5	-113/-113	-	'+100/-125	-110/-120	-	-	-	-110/-110	-115/-115	-
-0.7	-250 CZ	71%	PHI	playoffs	o  	-300/+235	-265/+220	-	-300/+220	-250/200	-335/235	-	-	-	-
-0.7	-850 CZ	89%	LAA	playoffs	u  	'+710/-1250	'+900/-1800	-	'+650/-1400	575/-850	800/-1667	-	-	-	-
-0.8	-105 CZ	51%	SEA	team_wins	u 85.5	-	-	-	-120/-110	-115/-105	100/-125	-	-	-	-
-0.8	425 DK	19%	Riley Greene	hr	o 29.5	'+300	'+425	-	-	-	-	-	-	'+350	-
-0.8	-105 BV	51%	PIT	team_wins	o 76.5	-	-	-120/+100	-105/-125	-115/-105	-112/-112	-	-110/-110	-	-
-0.8	425 DK	19%	Kerry Carpenter	hr	o 29.5	'+300	'+425	-	-	-	-	-	-	'+350	-
-0.8	105 CZ	49%	Fernando Tatis	hr	o 30.5	-105/-115	-	-105/-125	-115/-115	105/-125	-	-	'+100/-130	-	-
-0.9	100 DK	50%	ATL	team_wins	u 93.5	-	-120/+100	-110/-110	-115/-115	-	-	-	-115/-105	-	-
-1.0	375 BR	21%	MIL	division	o  	'+290	'+260	-	-	300	375	329	-	-	-
-1.0	-112 BR	53%	Kyle Schwarber	rbi	o 89.5	-	-145	-	-	-	-112/-112	-	-115/-105	-	-
-1.0	-110 CZ	52%	Ketel Marte	hr	o 25.5	-115/-105	-	-120/-110	-	-110/-110	-	-	-130/+100	-125/+100	-
-1.0	-110 365	52%	Jarren Duran	hr	u 18.5	-104/-118	-	-105/-125	-	-	-	-	-110/-110	-	-
-1.1	100 BV	50%	WSH	team_wins	u 71.5	-	-	-	-130/100	-	-110/-110	-	-115/-105	-	-
-1.1	-475 DK	83%	STL	playoffs	u  	'+490/-750	'+360/-475	-	'+400/-650	425/-600	375/-560	-	-	-	-
-1.1	100 BV	50%	SF	team_wins	u 80.5	-	-110/-110	-	-130/100	-115/-105	-	-	-	-	-
-1.1	-115 BR	53%	SF	team_wins	o 79.5	-	-	-120/+100	-	-	-115/-106	-126/106	-130/+100	-	-
-1.1	-115 CZ	53%	SD	playoffs	u  	-105/-118	'+110/-130	-	-105/-125	-105/-115	105/-132	-	-	-	-
-1.1	100 DK	50%	NYY	team_wins	o 89.5	-	'+100/-120	-	-	-105/-115	-110/-110	-	-	-	-
-1.2	-106 FD	51%	Zack Wheeler	k	o 199.5	-106	-120	-	-	-	-118	-	-	-	-
-1.2	100 CZ	50%	Shea Langeliers	hr	o 25.5	-	-	-	-110/-120	100/-120	-	-	-110/-110	-	-
-1.2	100 ESPN	50%	Rafael Devers	hr	o 30.5	-	-	-115/-115	-	-	-	-	-105/-115	'+100/-125	-
-1.2	-110 CZ	52%	Julio Rodriguez	sb	o 26.5	-128/-102	-	-	-120/-110	-110/-110	-	-	-	-	-
-1.2	100 ESPN	50%	Jake Burger	hr	o 26.5	-	-	-	-115/-115	-105/-115	-	-	-	'+100/-125	-
-1.2	101 PN	50%	COL	team_wins	u 59.5	-	-	-120/+100	-	-115/-105	-	-121/101	-105/-115	-	-
-1.3	-110 BR	52%	NYY	team_wins	u 89.5	-	'+100/-120	-	-	-105/-115	-110/-110	-	-	-	-
-1.3	175 BR	36%	Michael King	k	o 199.5	'+142	'+160	-	-	-	175	-	-	-	-
-1.3	-110 CZ	52%	Jarren Duran	sb	o 29.5	-128	-120	-	-130/100	-110/-110	-	-	-110/-110	-	-
-1.3	-110 DK	52%	CHW	team_wins	o 53.5	-	-110/-110	-115/-105	-	-125/105	-	-	-115/-105	-	-
-1.3	-105 365	51%	Bryce Harper	hr	u 27.5	-110/-110	-	-	-110/-120	-	-	-	-115/-105	-	-
-1.3	108 PN	48%	ARI	team_wins	u 86.5	-	-120/+100	-125/+105	-130/100	-125/105	-	-129/108	-110/-110	-	-
-1.4	-110 FD	52%	Seiya Suzuki	hr	o 19.5	-110/-110	-200	-	-115/-115	-110/-110	-	-	-110/-110	-	-
-1.4	100 ESPN	50%	Kyle Tucker	hr	u 27.5	-115/-105	-	-	-	-110/-110	-118/-108	-	-	-125/+100	-
-1.4	-105 BV	51%	Corey Seager	hr	u 28.5	-105/-115	-	-	-125/-105	-	-	-	-110/-110	-	-
-1.4	-110 CZ	52%	Cal Raleigh	rbi	o 79.5	-	-145	-	-	-110/-110	-	-	-110/-110	-	-
-1.4	-105 BV	51%	Brent Rooker	hr	u 33.5	-	-	-	-125/-105	-105/-115	-	-	-110/-110	-	-
-1.4	-105 FD	51%	Aaron Judge	hr	u 47.5	-115/-105	-	-	-	-105/-115	-110/-110	-	-	-	-
-1.4	-105 CZ	51%	Aaron Judge	hr	o 47.5	-115/-105	-	-	-	-105/-115	-110/-110	-	-	-	-
-1.5	-110 365	52%	Shea Langeliers	hr	u 25.5	-	-	-	-110/-120	100/-120	-	-	-110/-110	-	-
-1.5	-110 CZ	52%	Kyle Tucker	hr	o 27.5	-115/-105	-	-	-	-110/-110	-118/-108	-	-	-125/+100	-
-1.6	-105 CZ	51%	Marcell Ozuna	hr	o 31.5	-	-	-115/-115	-120/-110	-105/-115	-110/-110	-	-	-	-
-1.6	200 ESPN	33%	Brent Rooker	hr	o 39.5	'+196	'+150	-	-	-	-	-	-	'+200	-
-1.6	-164 FD	62%	BAL	playoffs	o  	-164/+134	-175/+145	-	-180/+135	-190/158	-180/140	-	-	-	-
-1.6	105 BR	49%	ARI	playoffs	u  	-115/-105	-125/+105	-	-130/100	-115/-115	-130/105	-	-	-	-
-1.7	106 PN	49%	SF	team_wins	u 79.5	-	-	-120/+100	-	-	-115/-106	-126/106	-130/+100	-	-
-1.7	100 FD	50%	SEA	playoffs	o  	'+100/-122	-110/-110	-	-105/-125	-105/-115	-112/-112	-	-	-	-
-1.7	100 ESPN	50%	Pete Alonso	hr	u 34.5	-	-	-	-125/-105	-110/-110	-113/-113	-	-	-125/+100	-
-1.7	-2500 DK	96%	LAD	playoffs	o  	-8000/+1800	-2500/+1300	-	-10000/+1400	-5000/1500	-10000/2000	-	-	-	-
-1.7	100 MGM	50%	KC	team_wins	u 82.5	-	-	-120/+100	-125/-105	-	-	-110/-108	-110/-110	-	-
-1.7	-800 CZ	89%	ATH	playoffs	u  	'+680/-1200	'+850/-1400	-	'+550/-1000	460/-800	600/-1115	-	-	-	-
-1.8	-220 DK	69%	TB	playoffs	u  	'+184/-230	'+180/-220	-	'+180/-245	200/-250	200/-265	-	-	-	-
-1.8	-110 DK	52%	SEA	playoffs	u  	'+100/-122	-110/-110	-	-105/-125	-105/-115	-112/-112	-	-	-	-
-1.8	-110 365	52%	Oneil Cruz	sb	o 20.5	-113/-113	-	-	-130/100	-	-	-	-110/-110	-	-
-1.8	100 MGM	50%	Michael Toglia	hr	o 24.5	'+100/-122	-130	'+100/-120	-	-	-	-	-	-	-
-1.8	-110 365	52%	Jazz Chisholm	sb	o 33.5	-113/-113	-	-	-130/100	-	-	-	-110/-110	-	-
-1.8	-110 CZ	52%	Cal Raleigh	hr	u 30.5	-	-	-	100/-130	-110/-110	-113/-113	-	-	-	-
-1.8	114 FD	47%	BOS	playoffs	u  	-140/+114	-115/-105	-	-145/+110	-130/110	-136/105	-	-	-	-
-1.8	-115 FD	53%	ARI	playoffs	o  	-115/-105	-125/+105	-	-130/100	-115/-115	-130/105	-	-	-	-
-1.9	-128 FD	56%	DET	playoffs	u  	'+104/-128	'+110/-130	-	'+105/-135	125/-150	110/-137	-	-	-	-
-1.9	-105 365	51%	Bobby Witt	hr	u 30.5	-105/-115	-	-110/-120	-120/-110	-110/-110	-	-	-115/-105	-	-
-1.9	-105 FD	51%	Bobby Witt	hr	o 30.5	-105/-115	-	-110/-120	-120/-110	-110/-110	-	-	-115/-105	-	-
-2.0	-110 CZ	52%	Teoscar Hernandez	hr	o 28.5	-	-	-	-115/-115	-110/-110	-	-	-	-125/+100	-
-2.0	105 CZ	49%	Michael Toglia	hr	u 23.5	-	-	-	-120/-110	-125/105	-	-	-130/+100	-	-
-2.0	-110 FD	52%	Kyle Schwarber	hr	o 35.5	-110/-110	-	-	-115/-115	-	-	-	-	-125/+100	-
-2.0	-110 PN	52%	KC	team_wins	o 82.5	-	-	-120/+100	-125/-105	-	-	-110/-108	-110/-110	-	-
-2.0	-300 CZ	75%	ATL	playoffs	o  	-340/+250	-400/+270	-	-370/+260	-300/240	-335/240	-	-	-	-
-2.1	-115 365	53%	Vladimir Guerrero	hr	o 30.5	-122/+100	-	-	-	-120/100	-	-	-115/-105	-125/+100	-
-2.1	-120 DK	55%	PHI	team_wins	u 91.5	-	'+100/-120	-	100/-130	-	-	108/-128	'+100/-130	-	-
