,Alvin Kamara,NO/11,R25/1,2.2,6.12,7.06,5.08,RB25,4,,,Terry McLaurin,WAS/14,W25/1,3.1,5.06,4.10,5.05,WR25,4,,,Sam Howell,WAS/14,Q25/1,-3.4,18.02,16.04,17.04,QB25,4
,Javonte Williams,DEN/9,R26/1,1.9,7.04,7.05,6.11,RB26,4,,,Christian Watson,GB/6,W26/1,3.7,4.07,4.11,5.07,WR26,4,,,Ryan Tannehill,TEN/7,Q26/1,-3.4,18.04,16.09,23.02,QB26,4
,David Montgomery,DET/9,R27/2,2.3,6.11,7.10,7.12,RB27,4,,,Tyler Lockett,SEA/5,W27/2,2.8,5.10,4.12,6.09,WR27,4,,,Kyler Murray,ARI/14,Q27/1,-4.3,20.12,17.10,16.02,QB27,4
,Jonathan Taylor,IND/11,R28/1,1.9,7.05,7.04,2.12,RB28,4,,,Brandon Aiyuk,SF/9,W28/2,2.2,7.01,5.01,6.12,WR28,4,,,Jimmy Garoppolo,LV/13,Q28/1,-3.1,17.09,18.09,18.01,QB28,4
,D'Andre Swift,PHI/10,R29/1,1.2,8.02,8.01,7.01,RB29,4,,,Christian Kirk,JAC/9,W29/2,3.0,5.09,5.06,7.04,WR29,5,,,C.J. Stroud,HOU/7,Q29/1,-3.6,18.08,18.12,17.05,QB29,4
,Dalvin Cook,NYJ/7,R30/2,0.7,9.05,8.04,6.05,RB30,4,,,Mike Williams,LAC/5,W30/2,3.0,5.08,5.07,5.09,WR30,5,,,Mac Jones,NE/11,Q30/1,-3.4,18.01,19.03,21.12,QB30,4
,Isiah Pacheco,KC/10,R31/1,2.1,7.02,8.05,6.10,RB31,4,,,Marquise Brown,ARI/14,W31/1,2.6,6.03,5.10,8.02,WR31,5,,,,,,,,,,,
,Antonio Gibson,WAS/14,R32/1,0.8,9.03,8.08,9.11,RB32,5,,,Michael Pittman Jr.,IND/11,W32/1,2.3,6.08,6.01,7.08,WR32,5,,,TIGHT END,,,,,,,,
,Khalil Herbert,CHI/13,R33/1,0.4,9.07,9.01,8.11,RB33,5,,,Mike Evans,TB/5,W33/2,3.2,5.04,6.02,7.03,WR33,5,,,NAME,TM/BW,POS,VAL,VRK,ECR,ADP,,
,AJ Dillon,GB/6,R34/2,0.7,9.06,9.08,8.05,RB34,5,,,Jerry Jeudy,DEN/9,W34/1,2.3,6.09,6.04,6.06,WR34,5,,,Travis Kelce,KC/10,T1/1,9.8,1.01,1.06,1.05,TE1,1
,Brian Robinson Jr.,WAS/14,R35/2,0.0,10.10,9.10,9.08,RB35,5,,,Jahan Dotson,WAS/14,W35/2,1.7,7.08,6.06,8.03,WR35,5,,,Mark Andrews,BAL/13,T2/1,4.9,3.02,3.06,3.04,TE2,1
,Samaje Perine,DEN/9,R36/2,0.2,10.02,9.12,10.05,RB36,5,,,George Pickens,PIT/6,W36/2,1.5,7.10,6.12,7.10,WR36,5,,,T.J. Hockenson,MIN/13,T3/1,4.6,3.04,5.03,4.10,TE3,1
,Zach Charbonnet,SEA/5,R37/2,-1.6,14.06,10.04,10.03,RB37,5,,,Jordan Addison,MIN/13,W37/2,1.1,8.07,7.01,8.06,WR37,5,,,Darren Waller,NYG/13,T4/1,3.5,4.09,5.09,5.03,TE4,2
,Jerick McKinnon,KC/10,R38/2,-1.3,13.07,10.08,11.01,RB38,5,,,Courtland Sutton,DEN/9,W38/2,1.2,8.05,7.08,9.02,WR38,5,,,George Kittle,SF/9,T5/1,3.2,5.02,6.11,4.12,TE5,2
,Jamaal Williams,NO/11,R39/2,-1.1,13.04,10.10,9.01,RB39,5,,,Brandin Cooks,DAL/7,W39/2,1.3,7.11,7.09,8.08,WR39,5,,,Dallas Goedert,PHI/10,T6/1,2.4,6.06,7.02,5.12,TE6,2
,Jaylen Warren,PIT/6,R40/2,-1.6,14.05,11.09,14.02,RB40,5,,,Gabe Davis,BUF/13,W40/2,1.2,8.06,7.11,9.07,WR40,5,,,Kyle Pitts,ATL/11,T7/1,2.5,6.04,7.07,5.10,TE7,2
,Damien Harris,BUF/13,R41/2,-2.3,16.03,11.11,14.05,RB41,5,,,Jaxon Smith-Njigba,SEA/5,W41/3,0.3,10.01,7.12,8.09,WR41,6,,,Evan Engram,JAC/9,T8/1,1.8,7.07,8.11,7.07,TE8,2
,Rashaad Penny,PHI/10,R42/2,-1.7,14.08,11.12,11.11,RB42,5,,,Treylon Burks,TEN/7,W42/2,0.9,9.02,8.02,10.01,WR42,6,,,Pat Freiermuth,PIT/6,T9/1,1.7,7.09,9.04,8.07,TE9,2
,Raheem Mostert,MIA/10,R43/1,-1.1,12.12,12.01,13.03,RB43,5,,,Zay Flowers,BAL/13,W43/1,0.4,9.08,8.03,10.02,WR43,6,,,David Njoku,CLE/5,T10/1,1.0,8.12,10.06,7.11,TE10,3
,Jeff Wilson Jr.,MIA/10,R44/2,-0.6,12.02,12.02,13.01,RB44,5,,,JuJu Smith-Schuster,NE/11,W44/1,1.3,7.12,8.06,9.09,WR44,6,,,Dalton Schultz,HOU/7,T11/1,1.1,8.09,11.06,10.09,TE11,3
,De'Von Achane,MIA/10,R45/3,-2.9,17.03,12.07,12.07,RB45,6,,,Elijah Moore,CLE/5,W45/2,-1.4,13.09,8.07,12.11,WR45,6,,,Tyler Higbee,LAR/10,T12/1,1.1,8.10,11.07,11.12,TE12,3
,Elijah Mitchell,SF/9,R46/2,-1.9,15.04,12.05,12.06,RB46,6,,,Michael Thomas,NO/11,W46/2,1.0,8.11,8.10,9.04,WR46,6,,,Chigoziem Okonkwo,TEN/7,T13/1,0.7,9.04,12.03,13.07,TE13,3
,Tyler Allgeier,ATL/11,R47/2,-1.9,15.05,12.10,13.10,RB47,6,,,Jakobi Meyers,LV/13,W47/2,0.4,9.09,9.02,12.12,WR47,6,,,Cole Kmet,CHI/13,T14/1,0.4,9.10,12.09,11.03,TE14,3
,Kenneth Gainwell,PHI/10,R48/3,-2.2,16.01,12.08,15.10,RB48,6,,,Skyy Moore,KC/10,W48/1,-0.1,10.12,9.07,11.05,WR48,6,,,Greg Dulcich,DEN/9,T15/1,0.3,9.11,13.05,14.08,TE15,3
,Tank Bigsby,JAC/9,R49/2,-2.8,16.12,13.01,14.12,RB49,6,,,Rashod Bateman,BAL/13,W49/2,-1.9,15.07,9.06,13.02,WR49,6,,,Dalton Kincaid,BUF/13,T16/1,0.0,10.11,12.11,11.04,TE16,3
,Devin Singletary,HOU/7,R50/2,-2.2,15.12,13.04,13.09,RB50,6,,,Quentin Johnston,LAC/5,W50/3,-0.7,12.06,9.09,10.12,WR50,6,,,Gerald Everett,LAC/5,T17/1,0.3,9.12,13.03,14.06,TE17,3
,Ezekiel Elliott,NE/11,R51/2,-2.0,15.08,13.11,11.07,RB51,6,,,Nico Collins,HOU/7,W51/1,0.2,10.03,10.02,15.02,WR51,6,,,Juwan Johnson,NO/11,T18/1,-0.4,11.05,14.01,13.05,TE18,3
,Kendre Miller,NO/11,R52/3,-4.1,20.02,14.09,17.07,RB52,6,,,Kadarius Toney,KC/10,W52/2,-0.9,12.09,10.03,10.06,WR52,6,,,Sam LaPorta,DET/9,T19/1,-0.4,11.04,14.04,14.10,TE19,4
,Roschon Johnson,CHI/13,R53/2,-4.4,21.08,14.11,16.05,RB53,6,,,Romeo Doubs,GB/6,W53/2,-0.4,11.06,10.11,15.03,WR53,6,,,Irv Smith Jr.,CIN/7,T20/1,-0.6,12.01,16.02,19.09,TE20,4
,D'Onta Foreman,CHI/13,R54/3,-3.1,17.11,15.10,17.02,RB54,6,,,Allen Lazard,NYJ/7,W54/2,0.0,10.09,10.07,12.05,WR54,6,,,Hayden Hurst,CAR/7,T21/1,-0.7,12.05,16.07,19.06,TE21,4
,Chuba Hubbard,CAR/7,R55/2,-2.3,16.04,15.04,19.10,RB55,6,,,Rondale Moore,ARI/14,W55/2,0.1,10.04,11.02,15.06,WR55,6,,,Hunter Henry,NE/11,T22/1,-0.7,12.04,18.01,19.02,TE22,4
,Gus Edwards,BAL/13,R56/2,-3.4,17.12,18.02,18.09,RB56,6,,,Odell Beckham Jr.,BAL/13,W56/3,-0.3,11.03,11.04,9.05,WR56,6,,,Dawson Knox,BUF/13,T23/2,-1.2,13.05,18.11,16.10,TE23,4
,Tyjae Spears,TEN/7,R57/2,-3.6,18.10,17.03,19.08,RB57,6,,,Tyler Boyd,CIN/7,W57/3,0.0,10.06,11.01,13.04,WR57,6,,,Mike Gesicki,NE/11,T24/2,-1.6,14.03,19.05,17.11,TE24,4
,Jerome Ford,CLE/5,R58/2,-4.3,21.04,17.08,22.05,RB58,6,,,Zay Jones,JAC/9,W58/3,0.0,10.07,10.12,14.11,WR58,6,,,Trey McBride,ARI/14,T25/1,-2.1,15.10,19.06,26.08,TE25,4
,Clyde Edwards-Helaire,KC/10,R59/3,-4.2,20.09,17.12,19.03,RB59,6,,,Adam Thielen,CAR/7,W59/1,-0.6,11.11,11.08,11.08,WR59,6,,,Zach Ertz,ARI/14,T26/2,-0.9,12.10,20.10,16.12,TE26,4
,Zamir White,LV/13,R60/2,-6.0,28.04,18.06,20.12,RB60,6,,,Darnell Mooney,CHI/13,W60/2,-0.5,11.07,11.05,15.01,WR60,7,,,Noah Fant,SEA/5,T27/1,-0.6,11.10,20.08,21.05,TE27,4
,Cordarrelle Patterson,ATL/11,R61/3,-3.7,18.11,19.01,18.07,RB61,6,,,Jameson Williams,DET/9,W61/2,-2.2,16.02,12.04,13.06,WR61,7,,,Cade Otton,TB/5,T28/1,-0.8,12.07,22.03,31.02,TE28,4
,Joshua Kelley,LAC/5,R62/2,-3.9,19.04,19.10,23.01,RB62,7,,,Michael Gallup,DAL/7,W62/3,-0.5,11.09,12.06,15.11,WR62,7,,,Michael Mayer,LV/13,T29/1,-1.7,14.11,21.08,18.06,TE29,4
,Kyren Williams,LAR/10,R63/2,-3.7,18.12,21.06,23.06,RB63,7,,,DJ Chark Jr.,CAR/7,W63/2,-0.6,11.12,12.12,16.09,WR63,7,,,Jelani Woods,IND/11,T30/1,-2.4,16.05,22.12,30.12,TE30,5
,,,,,,,,,,,,Donovan Peoples-Jones,CLE/5,W64/3,-1.6,14.07,13.08,18.12,WR64,7,,,,,,,,,,,
,KICKER,,,,,,,,,,,Alec Pierce,IND/11,W65/2,-2.1,15.11,13.10,20.03,WR65,7,,,DEFENSE/SPECIAL TEAMS,,,,,,,,
,NAME,TM/BW,POS,VAL,VRK,ECR,ADP,,,,,Jonathan Mingo,CAR/7,W66/3,-0.8,12.08,14.03,16.07,WR66,7,,,NAME,TM/BW,POS,VAL,VRK,ECR,ADP,,
,Justin Tucker,BAL/13,K1/1,NA,NA,15.09,8.10,K1,,,,K.J. Osborn,MIN/13,W67/3,-1.3,13.06,13.09,16.01,WR67,7,,,San Francisco 49ers,SF/9,D1/1,NA,NA,15.02,7.09,DST1,
,Tyler Bass,BUF/13,K2/1,NA,NA,16.06,11.06,K2,,,,Marvin Mims Jr.,DEN/9,W68/3,-2.0,15.09,14.06,20.02,WR68,7,,,Dallas Cowboys,DAL/7,D2/1,NA,NA,15.03,10.04,DST2,
,Harrison Butker,KC/10,K3/1,NA,NA,17.01,12.02,K3,,,,Isaiah Hodgins,NYG/13,W69/1,-1.9,15.06,14.07,21.02,WR69,7,,,Philadelphia Eagles,PHI/10,D3/1,NA,NA,15.11,9.03,DST3,
,Evan McPherson,CIN/7,K4/1,NA,NA,17.02,11.10,K4,,,,Van Jefferson,LAR/10,W70/2,-1.5,14.02,14.02,22.01,WR70,7,,,Buffalo Bills,BUF/13,D4/1,NA,NA,16.03,9.06,DST4,
,Daniel Carlson,LV/13,K5/1,NA,NA,17.09,9.12,K5,,,,Curtis Samuel,WAS/14,W71/3,-1.1,13.02,14.05,20.06,WR71,7,,,New York Jets,NYJ/7,D5/1,NA,NA,16.10,10.10,DST5,
,Younghoe Koo,ATL/11,K6/1,NA,NA,19.02,12.08,K6,,,,Jayden Reed,GB/6,W72/3,-1.5,14.01,14.12,20.07,WR72,7,,,New England Patriots,NE/11,D6/1,NA,NA,16.11,11.02,DST6,
,Jason Sanders,MIA/10,K7/1,NA,NA,19.07,19.05,K7,,,,Hunter Renfrow,LV/13,W73/3,-0.7,12.03,14.10,19.01,WR73,7,,,Baltimore Ravens,BAL/13,D7/1,NA,NA,17.06,11.09,DST7,
,Jake Elliott,PHI/10,K8/1,NA,NA,19.12,14.03,K8,,,,Rashid Shaheed,NO/11,W74/3,-2.7,16.10,15.01,21.09,WR74,7,,,Denver Broncos,DEN/9,D8/1,NA,NA,18.03,17.03,DST8,
,Brandon McManus,JAC/9,K9/1,NA,NA,20.01,18.03,K9,,,,Parris Campbell,NYG/13,W75/2,-3.0,17.06,15.06,18.10,WR75,7,,,New Orleans Saints,NO/11,D9/1,NA,NA,18.05,13.08,DST9,
,Jason Myers,SEA/5,K10/1,NA,NA,20.03,12.01,K10,,,,DeVante Parker,NE/11,W76/2,-1.1,13.03,15.08,23.07,WR76,8,,,Kansas City Chiefs,KC/10,D10/1,NA,NA,18.08,13.11,DST10,
,Graham Gano,NYG/13,K11/1,NA,NA,21.09,13.12,K11,,,,Rashee Rice,KC/10,W77/4,-3.1,17.08,15.07,16.06,WR77,8,,,Pittsburgh Steelers,PIT/6,D11/1,NA,NA,18.10,12.04,DST11,
,Greg Joseph,MIN/13,K12/1,NA,NA,21.11,21.04,K12,,,,Marquez Valdes-Scantling,KC/10,W78/3,-1.1,13.01,15.05,17.09,WR78,8,,,Miami Dolphins,MIA/10,D12/1,NA,NA,19.04,12.09,DST12,
,Greg Zuerlein,NYJ/7,K13/1,NA,NA,21.12,17.12,K13,,,,Robert Woods,HOU/7,W79/2,-1.7,14.12,16.05,25.04,WR79,8,,,Cincinnati Bengals,CIN/7,D13/1,NA,NA,19.08,15.09,DST13,
,Matt Gay,IND/11,K14/1,NA,NA,22.06,16.04,K14,,,,Darius Slayton,NYG/13,W80/3,-2.5,16.07,16.01,21.01,WR80,8,,,Washington Commanders,WAS/14,D14/1,NA,NA,20.06,16.03,DST14,
,Wil Lutz,DEN/9,K15/1,NA,NA,22.10,20.05,K15,,,,Chase Claypool,CHI/13,W81/3,-2.7,16.11,16.12,22.03,WR81,8,,,Cleveland Browns,CLE/5,D15/1,NA,NA,20.07,16.11,DST15,
,Nick Folk,TEN/7,K16/1,NA,NA,23.03,18.04,K16,,,,John Metchie III,HOU/7,W82/3,-2.8,17.01,16.08,22.09,WR82,8,,,Tampa Bay Buccaneers,TB/5,D16/1,NA,NA,20.12,24.07,DST16,
,Chris Boswell,PIT/6,K17/1,NA,NA,24.05,20.04,K17,,,,Wan'Dale Robinson,NYG/13,W83/5,-3.4,18.03,17.05,22.06,WR83,8,,,Los Angeles Chargers,LAC/5,D17/1,NA,NA,21.05,20.09,DST17,
This paste expires in <1 hour. Public IP access. Share whatever you see with others in seconds with Context. Terms of ServiceReport this
